participant,trial_id,block_id,fixation_id,tunnel_type,width,t_onset,duration_s,s_c,cursor_x,cursor_y,lead_onset,lead_corr,gaze_task_x,gaze_task_y,gaze_x_corr,gaze_y_corr,gaze_path_dist,blink_corrupted,off_path,regressive,saccade_followed,n_merged,merged_into,drift_corrected,keep
A,11,32,335.0,straight,0.01,1786729700.9350915,0.355374813079834,0.2610405363258507,0.2610405363258507,0.1312537251655629,-0.0092571585102866,0.0169594636741493,0.2652478545649254,0.11997074845872564,0.27709676431527747,0.1335782575820282,0.0036904961760579787,False,False,False,True,1,,False,True
A,11,32,336.0,straight,0.01,1786729701.3154664,0.15012907981872559,0.2918708273432582,0.2918708273432582,0.1312537251655629,-0.0011012347500127,0.016129172656741797,0.29652917855114014,0.12185086307483485,0.3083780883014922,0.13545837219813742,0.005471451161906201,False,False,False,False,1,,False,True
A,11,32,337.0,straight,0.01,1786729701.6507163,0.45550012588500977,0.3129357604683619,0.3129357604683619,0.1312350168365519,0.0034423638685596,0.027064239531638112,0.3290789335319214,0.12289056876871768,0.3409278432822735,0.13649807789202023,0.006563985789687698,True,False,False,True,1,,False,False
A,11,32,338.0,straight,0.01,1786729702.1512167,0.5805089473724365,0.3552434239613992,0.3552434239613992,0.1302206125827814,0.0291963455438362,0.04675657603860084,0.389469699408599,0.1265078974597787,0.40131860915895107,0.14011540658308125,0.010138330425632652,False,False,False,True,1,,False,True
A,11,32,339.0,straight,0.01,1786729703.2072155,1.090998888015747,0.4438950727421193,0.4438950727421193,0.1302206125827814,0.00160837583081,0.014104927257880706,0.456170318506555,0.1310407793369039,0.46801922825690706,0.14464828846020644,0.017747036081481933,False,False,False,False,1,,False,True
A,29,33,342.0,gentle_sinusoidal,0.04,1786729705.9147136,0.14012479782104492,0.00019396036438733513,0.0002653324407481,0.1298639195754251,0.0301728532669386,0.05013067139096125,0.036742478396637676,0.1277448036057695,0.04859138814698975,0.14135231272907206,0.0032004882581250244,False,False,False,True,1,,False,True
A,29,33,343.0,gentle_sinusoidal,0.04,1786729706.0998497,0.5154876708984375,0.03575752036334546,0.0343624066691413,0.1392174546662101,0.0798859203124672,0.08932772723134969,0.11044249892736327,0.11929541400293267,0.12229140867771535,0.13290292312623525,0.005450482640924261,False,False,False,True,1,,False,True
A,29,33,344.0,gentle_sinusoidal,0.04,1786729706.6703374,0.6106288433074951,0.14398039824213532,0.1418144140431519,0.1335356995827513,0.0417382617855682,0.05315185218482826,0.17609601531068886,0.11680552237124119,0.18794492506104093,0.13041303149454375,0.013884242904110625,False,False,False,True,1,,False,True
A,29,33,345.0,gentle_sinusoidal,0.04,1786729707.3309624,0.3103752136230469,0.22802294605045959,0.2195623397038793,0.1255418320531847,0.0401492413758295,0.05154244467268815,0.25692516482659444,0.1289345256167293,0.2687740745769465,0.14254203474003185,0.0008621030741218745,False,False,False,True,1,,False,True
A,29,33,346.0,gentle_sinusoidal,0.04,1786729707.6913364,0.39537525177001953,0.2701285768627576,0.2606911202889194,0.1342245184828258,0.0647938902568246,0.06851687520958832,0.31672788441923133,0.13020453665501297,0.3285767941695834,0.14381204577831552,0.00687262221708152,False,False,False,True,1,,False,True
