participant,trial_id,block_id,fixation_id,tunnel_type,width,t_onset,duration_s,s_c,cursor_x,cursor_y,lead_onset,lead_corr,gaze_task_x,gaze_task_y,gaze_x_corr,gaze_y_corr,gaze_path_dist,blink_corrupted,off_path,regressive,saccade_followed,n_merged,merged_into,drift_corrected,keep
C,27,90,595.0,gentle_sinusoidal,0.02,1787092323.462778,0.20524382591247559,0.14972102195634698,0.1442994001686229,0.1234487741940667,0.0113027428519247,0.025303403587947276,0.14982788263876673,0.10344123727429366,0.16806981809249527,0.10461776342359445,0.010495667996605458,True,False,False,False,1,,False,False
C,27,90,596.0,gentle_sinusoidal,0.02,1787092323.8731472,0.13512492179870605,0.21386392199364812,0.205933061158259,0.1216456354104597,-0.009513808361577,0.006159705548397648,0.19734249889115663,0.10966322480741462,0.21558443434488517,0.11083975095671542,0.012598667696994888,False,False,False,True,1,,False,True
C,27,90,597.0,gentle_sinusoidal,0.02,1787092324.0533972,0.35524988174438477,0.2592950654032886,0.2508261888579381,0.1308747540355456,0.0252449837940351,0.046420877062467225,0.27425706751061096,0.13242593188189616,0.2924990029643395,0.13360245803119697,0.011262157035034638,False,False,False,True,1,,False,True
C,27,90,598.0,gentle_sinusoidal,0.02,1787092324.4486473,0.4504997730255127,0.30983112919042816,0.2976875238751151,0.1411451006573865,0.0304947511550839,0.052462909146348546,0.3325220940323713,0.13586087210471884,0.35076402948609986,0.13703739825401962,0.008715258359490368,False,False,False,True,1,,False,True
C,27,90,599.0,gentle_sinusoidal,0.02,1787092324.939147,0.4153752326965332,0.3653147856293509,0.3517565156958962,0.1300047981696805,0.0301948152465595,0.05708056911769144,0.38714508912912754,0.1258544966144533,0.4053870245828561,0.1270310227637541,0.011978204705430637,False,False,False,True,1,,False,True
C,27,90,600.0,gentle_sinusoidal,0.02,1787092325.3946471,0.5704998970031738,0.4303396388292837,0.4136107100574727,0.1183478800272291,0.0256464759910298,0.046235724683580226,0.44588346818938335,0.13006373518130712,0.4641254036431119,0.1312402613306079,0.006462329017665003,False,False,False,False,1,,False,True
C,27,91,603.0,gentle_sinusoidal,0.02,1787092326.951022,0.49049997329711914,0.0004044025104285937,0.0004407135530706,0.1299909496323923,0.0329068725397659,0.07399886104310373,0.05180804198703802,0.12900150492216958,0.07004997744076658,0.13017803107147036,0.013798959667757587,False,False,False,True,1,,False,True
C,27,91,604.0,gentle_sinusoidal,0.02,1787092327.4765222,0.18512487411499023,0.07917355188064641,0.0773871565971246,0.1463210830418206,0.0122994611360649,0.030798234819653422,0.09334424717077267,0.1476510128816064,0.11158618262450122,0.14882753903090717,0.016172056402835033,False,False,False,True,1,,False,True
C,27,91,605.0,gentle_sinusoidal,0.02,1787092327.7067723,0.2852497100830078,0.1161319356718861,0.1137849433151545,0.1364341011901048,0.0184136495539131,0.036548732856063554,0.12792167588735265,0.11941072857393696,0.1461636113410812,0.12058725472323775,0.0018326786541136386,False,False,False,True,1,,False,True
C,27,91,606.0,gentle_sinusoidal,0.02,1787092328.032022,0.2952601909637451,0.1628092180492884,0.1567480508908341,0.1211559351749787,0.0177843940315355,0.03636200147238053,0.17383417519909922,0.11809784801664124,0.19207611065282776,0.11927437416594203,0.002197240695399968,False,False,False,True,1,,False,True
C,27,91,607.0,gentle_sinusoidal,0.02,1787092328.3674011,0.10000109672546387,0.2160073771164027,0.2071309625661948,0.1247244887831056,0.0172734917977218,0.036296570482711316,0.22620112650574375,0.12620814203430636,0.2444430619594723,0.12738466818360716,0.007835603322988249,False,False,False,False,1,,False,True
C,27,91,608.0,gentle_sinusoidal,0.02,1787092328.6726472,0.3202488422393799,0.27671497141890633,0.265209064695769,0.1423390181498979,0.0080888193029587,0.026997213281616084,0.2737457502861316,0.14018456639299845,0.2919876857398601,0.14136109254229923,0.0035257297630444336,False,False,False,True,1,,False,True
