participant,type_label,trial_id,width_mm,dur_s,dist_m,dphi_rad,lead_post,inv_speed,kappa_density
p01,sharp,33,16.5,0.27025,0.011,0.048892,0.008,24.568168,4.444702
p01,sharp,33,16.5,0.26025,0.024,0.03574,-0.007,10.843754,1.489165
p01,sharp,33,16.5,0.270254,0.014,0.013956,-0.018,19.30385,0.996884
p01,sharp,33,16.5,0.050012,0.003,0.010394,0.025,16.670704,3.464624
p01,sharp,33,16.5,0.290249,0.021,0.142357,-0.01,13.821375,6.778903
p01,sharp,33,16.5,0.450375,0.03,0.718044,-0.003,15.012511,23.934804
p01,sharp,33,16.5,0.400375,0.024,0.602776,0.013,16.682297,25.115669
p01,sharp,33,16.5,0.23025,0.008,0.085158,0.013,28.781235,10.644767
p01,sharp,33,16.5,0.31025,0.031,0.1293,0.02,10.008066,4.170954
p01,sharp,33,16.5,0.320363,0.023,0.017307,-0.004,13.928828,0.752473
p01,sharp,33,16.5,0.860876,0.045,1.227588,0.014,19.13058,27.279723
p01,sharp,33,16.5,0.750625,0.058,0.428038,0.008,12.941813,7.379972
p01,sharp,33,16.5,0.29025,0.006,0.119749,0.011,48.37505,19.958161
p01,sharp,33,16.5,0.89074,0.049,1.23735,0.328,18.178371,25.252049
p01,sharp,33,16.5,0.520375,0.045,0.124306,0.027,11.563884,2.762357
p01,sharp,33,16.5,0.36025,0.036,0.136108,0.021,10.006944,3.780779
p01,sharp,33,16.5,1.050999,0.07,1.570825,0.038,15.014267,22.440362
p01,sharp,33,16.5,0.21025,0.015,0.074771,-0.106,14.016676,4.984713
p01,sharp,33,16.5,0.090125,0.009,0.017371,0.05,10.013898,1.930069
p01,sharp,33,16.5,0.050119,0.005,0.002986,0.001,10.023832,0.59726
p01,sharp,33,16.5,0.45037,0.042,0.135456,-0.033,10.723086,3.225134
p01,sharp,33,16.5,0.050001,0.004,0.049715,-0.014,12.500167,12.428788
p01,sharp,33,16.5,0.120125,0.008,0.139404,0.055,15.015602,17.425477
p01,sharp,33,16.5,0.07,0.005,0.119636,0.039,14.000034,23.927168
p01,sharp,33,16.5,0.240132,0.016,0.543802,0.027,15.008241,33.987636
p01,sharp,33,16.5,0.570624,0.034,0.624841,0.023,16.783062,18.377681
p01,sharp,33,16.5,0.190125,0.021,0.088905,0.006,9.053571,4.233564
p01,sharp,33,16.5,0.340375,0.019,0.016427,0.008,17.914496,0.864556
p01,sharp,33,16.5,0.500509,0.039,0.147552,0.01,12.833559,3.783389
p01,sharp,33,16.5,0.5605,0.038,0.895557,0.045,14.750004,23.567283
p01,sharp,33,16.5,0.24025,0.022,0.538936,0.006,10.920449,24.497105
p01,sharp,33,16.5,0.620634,0.05,0.233563,-0.007,12.412677,4.671259
p01,sharp,33,16.5,0.410375,0.016,0.562896,-0.023,25.64843,35.181006
p01,sharp,33,16.5,0.075,0.008,0.238361,0.159,9.375006,29.795144
p01,sharp,33,16.5,0.050001,0.014,0.227787,0.015,3.57151,16.27047
p01,sharp,33,16.5,0.25025,0.023,0.133718,-0.006,10.880429,5.813846
p01,sharp,33,16.5,0.4905,0.047,0.077716,0.06,10.43617,1.653534
p01,sharp,33,16.5,0.470375,0.034,0.395549,0.036,13.834554,11.633803
p01,sharp,33,16.5,0.5205,0.037,1.097772,0.023,14.067566,29.669515
p01,sharp,33,16.5,0.070129,0.007,0.091116,0.014,10.018417,13.016515
p01,sharp,33,16.5,0.060125,0.004,0.035725,0.002,15.031278,8.931326
p01,sharp,33,16.5,0.210133,0.018,0.097492,-0.001,11.674047,5.416225
p01,sharp,33,16.5,0.610626,0.044,0.064132,-0.003,13.877863,1.457555
p01,sharp,33,16.5,0.870763,0.076,1.4505,-0.018,11.457409,19.085533
p01,sharp,33,16.5,0.380385,0.059,0.376857,0.043,6.447206,6.387401
p01,sharp,33,16.5,0.230124,0.004,0.001306,-0.003,57.530999,0.326506
p01,sharp,33,16.5,0.400255,0.046,0.243287,-0.009,8.701195,5.288858
p01,sharp,33,16.5,0.5605,0.044,1.246147,0.027,12.738634,28.321521
p01,sharp,33,16.5,0.400375,0.04,0.279741,-0.001,10.009372,6.993528
p01,sharp,34,25.0,0.415387,0.052,0.640961,0.027,7.988214,12.326169
p01,sharp,34,25.0,0.360375,0.056,1.061461,0.021,6.435262,18.954657
p01,sharp,34,25.0,0.29025,0.043,0.061252,-0.008,6.750007,1.42447
p01,sharp,34,25.0,0.380375,0.049,0.581249,-0.021,7.762758,11.862232
p01,sharp,34,25.0,0.355375,0.046,1.084128,0.036,7.725539,23.568006
p01,sharp,34,25.0,0.225132,0.043,0.108594,-0.002,5.235628,2.525445
p01,sharp,34,25.0,0.465374,0.074,0.933787,0.031,6.288838,12.618743
p01,sharp,34,25.0,0.31525,0.05,1.330195,-0.033,6.305003,26.603895
p01,sharp,34,25.0,0.305372,0.07,0.257127,-0.019,4.362454,3.673249
p01,sharp,34,25.0,0.5255,0.046,0.760866,0.041,11.423914,16.540566
p01,sharp,34,25.0,0.29025,0.031,0.569432,-0.03,9.362898,18.368781
p01,sharp,34,25.0,0.25025,0.038,0.964772,-0.038,6.585529,25.388735
p01,sharp,34,25.0,0.210252,0.036,0.127167,-0.02,5.840328,3.532429
p01,sharp,34,25.0,0.22525,0.031,0.069235,-0.001,7.266137,2.233399
p01,sharp,34,25.0,0.105121,0.014,0.107112,-0.028,7.508653,7.650873
p01,sharp,34,25.0,0.130115,0.024,0.804933,-0.019,5.42146,33.538859
p01,sharp,34,25.0,0.4855,0.054,0.425614,-0.023,8.990738,7.881745
p01,sharp,34,25.0,0.670625,0.07,0.835954,0.032,9.580357,11.942195
p01,sharp,34,25.0,0.440375,0.069,0.814468,0.021,6.382248,11.803881
p01,sharp,34,25.0,0.230257,0.058,0.334939,0.004,3.969949,5.774815
p01,sharp,34,25.0,0.290375,0.064,0.20435,-0.006,4.537113,3.192969
p01,sharp,34,25.0,0.070125,0.004,0.064536,-0.021,17.531276,16.133991
p01,sharp,34,25.0,0.28025,0.064,1.266978,0.037,4.378907,19.796538
p01,sharp,34,25.0,0.24525,0.023,0.037002,-0.01,10.663043,1.608774
p01,sharp,35,50.0,0.170125,0.036,0.042238,-0.025,4.725695,1.173268
p01,sharp,35,50.0,0.310375,0.094,1.727581,0.098,3.301864,18.378517
p01,sharp,35,50.0,0.520384,0.117,1.152515,0.021,4.447727,9.850554
p01,sharp,35,50.0,0.22025,0.073,1.593081,0.089,3.017122,21.823021
p01,sharp,35,50.0,0.060124,0.01,0.052398,0.001,6.012416,5.239823
p01,sharp,35,50.0,0.090125,0.017,0.049221,-0.058,5.301476,2.895339
p01,sharp,35,50.0,0.230125,0.074,1.591024,0.071,3.1098,21.50032
p01,sharp,35,50.0,0.16025,0.045,0.087967,0.001,3.561115,1.954822
p01,sharp,35,50.0,0.35025,0.084,1.64492,0.078,4.16964,19.582382
p01,sharp,35,50.0,0.22025,0.02,0.147851,0.118,11.012506,7.392543
p01,sharp,35,50.0,0.710617,0.205,3.159795,0.279,3.466424,15.413632
p01,sharp,35,50.0,0.300375,0.034,0.301387,0.091,8.834551,8.864322
p02,corner,6,10.0,0.450367,0.032,0.0,-0.008,14.073968,0.0
p02,corner,6,10.0,1.971873,0.058,1.570796,0.017,33.997811,27.082695
p02,corner,6,10.0,0.86075,0.046,0.0,-0.03,18.711961,0.0
p02,corner,6,10.0,1.101124,0.059,1.570796,-0.018,18.663115,26.623667
p02,corner,6,10.0,0.470375,0.06,0.0,-0.034,7.839584,0.0
p02,corner,6,10.0,0.390374,0.039,0.0,-0.018,10.009594,0.0
p02,corner,6,10.0,1.781749,0.098,1.570796,0.02,18.181112,16.028534
p02,corner,6,10.0,1.040874,0.127,1.570796,0.012,8.195858,12.368475
p02,corner,6,10.0,0.140125,0.014,0.0,-0.03,10.008914,0.0
p02,corner,6,10.0,0.310248,0.01,0.0,0.011,31.024814,0.0
p02,corner,6,10.0,0.380249,0.047,0.0,-0.045,8.09041,0.0
p02,corner,6,10.0,2.802494,0.115,3.141593,0.0,24.369511,27.318197
p02,corner,6,10.0,1.271124,0.11,0.0,0.044,11.555672,0.0
p02,corner,6,10.0,0.29025,0.017,0.0,-0.017,17.073519,0.0
p02,corner,6,10.0,1.201124,0.072,1.570796,0.018,16.68228,21.816616
p02,corner,6,10.0,1.281134,0.076,1.570796,-0.023,16.857025,20.668373
p02,corner,6,10.0,1.251249,0.11,0.0,-0.025,11.374989,0.0
p02,corner,6,10.0,0.680624,0.049,0.0,0.044,13.890286,0.0
p02,corner,6,10.0,0.410375,0.014,1.570796,0.015,29.312491,112.199738
p02,corner,6,10.0,1.130999,0.062,0.0,0.001,18.241921,0.0
p02,corner,6,10.0,0.580624,0.027,0.0,-0.018,21.504596,0.0
p02,corner,6,10.0,0.28025,0.013,1.570796,0.01,21.557698,120.830487
p02,corner,6,10.0,1.171124,0.076,0.0,0.031,15.409526,0.0
p02,corner,6,10.0,0.34025,0.041,0.0,-0.03,8.298775,0.0
p02,corner,6,10.0,0.24025,0.015,0.0,-0.008,16.016674,0.0
p02,corner,6,10.0,1.921874,0.102,2.617994,0.009,18.841902,25.666607
p02,corner,6,10.0,0.690624,0.038,0.523599,-0.008,18.174316,13.778915
p02,corner,6,10.0,1.01099,0.089,0.0,-0.031,11.35944,0.0
p02,corner,7,12.5,0.210125,0.023,0.0,-0.058,9.135868,0.0
p02,corner,7,12.5,0.16025,0.02,0.0,-0.038,8.012521,0.0
p02,corner,7,12.5,0.95087,0.04,1.570796,-0.005,23.771751,39.269908
p02,corner,7,12.5,2.312122,0.155,1.570796,-0.021,14.916917,10.13417
p02,corner,7,12.5,0.270257,0.041,0.0,-0.073,6.59164,0.0
